,name,artist,track_id,danceability,energy,loudness,acousticness,valence
50,Ps & Qs,Lil Uzi Vert,1gGsNNUfvVMOv4llVMg8Vg,0.522,0.428,-11.332,0.235,0.399
51,Levels,Avicii,6dfXwa0dI1sBm4CIePuOYM,0.601,0.834,-6.573,0.0295,0.352
52,Fractures (feat. Nevve),ILLENIUM,6H0zRPEV1ezBHOidNXSt1D,0.41,0.711,-3.064,0.373,0.266
53,Dance Monkey,Tones And I,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,-6.4,0.692,0.513
54,Jackie Chan,Tiësto,4kWO6O1BUXcZmaxitpVUwp,0.747,0.834,-2.867,0.374,0.687
55,You Were Right,RÜFÜS DU SOL,4ADsYu1V5CpFLXNve7iK4Z,0.708,0.793,-5.426,0.0138,0.735
56,Midnight City,M83,1eyzqe2QqGZUmfcPZtrIyt,0.526,0.712,-6.525,0.0161,0.32
57,Habits (Stay High) - Hippie Sabotage Remix,Tove Lo,62N2JSA0jHmSH7Va9t7hIf,0.735,0.686,-7.562,0.00108,0.0656
58,Shake Me Down,Cage The Elephant,1Hb1IJ9bBCa6wo3fRtexnJ,0.457,0.613,-5.756,0.00463,0.132
59,Reflections,MisterWives,2PtBhfoPZ6VYtXkrE5FrCH,0.682,0.676,-5.46,0.0226,0.604
60,Itchin' on a Photograph,Grouplove,01nkjRsgpYwtbH94l7y4cg,0.501,0.877,-6.369,0.137,0.268
61,Walking On A Dream,Empire of the Sun,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,-5.594,0.257,0.716
62,Come a Little Closer,Cage The Elephant,4sebUbjqbcgDSwG6PbSGI0,0.44,0.777,-1.786,0.0265,0.306
63,Time to Pretend,MGMT,4iG2gAwKXsOcijVaVXzRPW,0.438,0.94,-3.249,8.74e-05,0.421
64,Someday,The Strokes,7hm4HTk9encxT0LYC0J6oI,0.538,0.52,-7.46,0.00425,0.678
65,Be Someone - Cristoph Remix,CamelPhat,5pzuPHr1vPs36PjY2q8OUa,0.618,0.878,-7.072,0.0386,0.552
66,One Night (feat. Raphaella),MK,4QUA94c3ycZm8dnpPih4sf,0.486,0.896,-6.189,0.0015,0.195
67,Don't Let Me Down (feat. Kaelyn Behr),Tchami,2EV8Jn9pSy2ynP1bI7tLXT,0.772,0.892,-3.969,0.00636,0.258
68,Shades (feat. Donnie Sloan & Ricky Ducati),Tchami,5EqvRNLWBnhHevkDIyCPU6,0.623,0.746,-6.509,0.0994,0.179
69,Loving Is Easy,Rex Orange County,5EYi2rH4LYs6M21ZLOyQTx,0.756,0.609,-7.927,0.217,0.537
70,I Want You,Chris Lake,7IM73yy9leN8ftZsOVmVTO,0.776,0.883,-5.845,0.00426,0.676
71,raingurl,Yaeji,4gRAniZdYF2zVrDUsNC9tU,0.929,0.572,-6.928,0.017,0.288
72,Wish I Knew You,The Revivalists,2EWpa5XnAuSn0sIkSSIhYk,0.649,0.718,-6.593,0.142,0.718
73,Sunday,Møme,74miq4ubMDpEZWtdEh8u9R,0.817,0.576,-7.475,0.248,0.432
74,Snow (Hey Oh),Red Hot Chili Peppers,2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,-3.674,0.116,0.599
75,Over My Head (Cable Car),The Fray,1N62wozuHCvczCkY4QidpP,0.592,0.729,-4.156,0.022,0.709
76,It's Not Living (If It's Not With You),The 1975,3TgMcrV32NUKjEG2ujn9eh,0.618,0.837,-5.338,0.000254,0.526
77,Realize,Colbie Caillat,5OGkKx8jP0A5KSULEc6XYZ,0.693,0.594,-6.408,0.13,0.192
78,Complicated,Avril Lavigne,5xEM5hIgJ1jjgcEBfpkt2F,0.585,0.776,-5.898,0.0572,0.427
