,name,artist,track_id,danceability,energy,loudness,acousticness,valence
222,Girl All the Bad Guys Want,Bowling For Soup,0KqyBk4aVT88TEqBIC8mAP,0.582,0.829,-5.688,0.000517,0.867
223,Genghis Khan,Miike Snow,6MDijuuArPJv1vbp7K1x3f,0.688,0.847,-3.238,0.04,0.453
224,The General,Dispatch,6n6EXIwLtNwe4u4CFzENYm,0.541,0.675,-6.136,0.446,0.686
225,Full Circle,Quinn XCII,2uHSDyFByIUeTUAxZCTRp0,0.751,0.547,-7.898,0.202,0.481
226,Fuck Love (feat. Trippie Redd),XXXTENTACION,7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,-9.74,0.0172,0.329
227,I Dare You,The xx,044qU7kwVZaDwzWnRsmVVL,0.752,0.543,-9.483,0.623,0.282
228,Free,Kidswaste,5413LFXLYAJS85VKs6H6ag,0.6,0.508,-10.279,0.91,0.105
229,Free Fallin',Tom Petty,5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,-13.333,0.212,0.572
230,Floats My Boat,Aer,2xH94bp1TPSMPPPnnSwIGL,0.87,0.718,-5.436,0.0278,0.682
231,Firestone (feat. Conrad Sewell),Kygo,1I8tHoNBFTuoJAlh4hfVVE,0.486,0.652,-7.226,0.408,0.391
232,Five Minutes to Midnight,Boys Like Girls,7DYWvQ1RS986e59CXJJGxx,0.463,0.901,-4.073,0.00779,0.621
233,Flare Guns,Quinn XCII,7cM9Kqto11iJpY2RwgVJSq,0.812,0.472,-6.806,0.26,0.457
234,Fine China,Future,5274I4mUMnYczyeXkGDWZN,0.656,0.542,-7.358,0.0484,0.551
235,FFYL,Quinn XCII,5WMr0rpgYeYXNSXar5IAvi,0.722,0.762,-4.76,0.226,0.591
236,Feels Like We Only Go Backwards,Tame Impala,0LtOwyZoSNZKJWHqjzADpW,0.303,0.9,-2.352,0.0277,0.491
237,Feels Like Summer,Weezer,2jz1bw1p0WQj0PDnVDP0uY,0.53,0.867,-4.989,0.02,0.74
238,Feels Like Summer,Childish Gambino,7p4vHnYXkxlzvfePJVpcTr,0.554,0.596,-8.214,0.162,0.255
239,Fall For You,Secondhand Serenade,7lWF2mVr1KKbVnaT2nSlPo,0.387,0.442,-7.086,0.19,0.382
240,Everybody Talks,Neon Trees,3528IXKpbb7OMjdjWYlbfD,0.471,0.924,-3.906,0.00301,0.725
241,Electric Feel,MGMT,3FtYbEfBqAlGO46NUDQSAt,0.763,0.807,-3.714,0.0714,0.559
242,Eastside (with Halsey & Khalid),benny blanco,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,-7.648,0.555,0.319
243,Drew Barrymore,Bryce Vine,0OgGn1ofaj55l2PcihQQGV,0.758,0.574,-6.889,0.46,0.261
244,Dreams and Nightmares,Meek Mill,42zd6DYQ4o4SECmTITrM1U,0.631,0.774,-2.459,0.468,0.44
245,Doses & Mimosas,Cherub,44CZRkOxv7UItaAUmh8PgN,0.775,0.655,-7.333,0.114,0.346
246,Do You Love Me,Jay Sean,6eDJvxlRDYiCYoURDXjtLw,0.434,0.847,-3.822,0.2,0.719
247,DANCE,DNCE,7BfSU2ya7PZtqrl48urKqG,0.778,0.789,-4.301,0.0819,0.941
248,Coming Over (feat. James Hersey),Dillon Francis,6m3ZWIXhjoV76syT1j2oE9,0.631,0.661,-5.5,0.227,0.698
249,Come and Get Your Love,Redbone,5519RhpzObr9Mn3iqoeodJ,0.674,0.785,-6.126,0.127,0.853
250,Color Blind,Diplo,7thTA3hqO2MgOlzo0rPInX,0.469,0.786,-5.396,0.0126,0.409
251,Cobrastyle (feat. Mad Cobra),Teddybears,0aWfhiilJXkCxnoxdhv7qF,0.712,0.913,-4.488,0.314,0.783
252,Closing Time,Semisonic,1A5V1sxyCLpKJezp75tUXn,0.478,0.854,-5.454,0.0204,0.274
253,Cigarette Daydreams,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,0.635,0.675,-3.445,0.0801,0.273
254,Chasing Cars,Snow Patrol,11bD1JtSjlIgKgZG2134DZ,0.563,0.592,-4.571,0.209,0.136
255,Champagne Supernova,Oasis,0ZJAa6BO0RxPYUejFJVxMQ,0.301,0.869,-2.275,0.215,0.116
256,Capsize,FRENSHIP,2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,-6.244,0.0398,0.355
257,Can't Stop,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,-3.442,0.0179,0.875
258,California,Dzeko,6zlNzrQxvuRG55pOqkcCSu,0.617,0.718,-3.991,0.311,0.721
259,California - Tchad Blake Mix,Phantom Planet,497Fkp3gRiGrRMoqBTDudr,0.4,0.805,-7.305,0.0387,0.324
260,California,blink-182,08aMpsxjozNNQPVnnE1QaC,0.348,0.675,-5.889,0.0571,0.206
261,Buddy Holly,Weezer,7GptbanebPZYkLPvjNfd6m,0.535,0.931,-4.012,0.00611,0.825
262,Boy,ODESZA,63yesoRJgXT5QALryYFV0X,0.515,0.686,-6.258,0.00324,0.148
263,Bored To Death,blink-182,44TuSOP6xIAEeJmZsN3nXO,0.502,0.966,-3.876,0.00575,0.638
264,Body,Loud Luxury,21RzyxY3EFaxVy6K4RqaU9,0.752,0.764,-4.399,0.0476,0.582
265,Blind,RØGUENETHVN,5sj4ZdvfJePJsW83aVxjnT,0.751,0.875,-3.709,0.0678,0.41
266,Better Now,Post Malone,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,-5.804,0.331,0.341
267,bellyache,Billie Eilish,51NFxnQvaosfDDutk0tams,0.695,0.573,-8.597,0.46,0.408
268,Radar (feat. HONNE),Whethan,1WfMi7xvOti8F4dSf7atd9,0.734,0.724,-6.935,0.0387,0.501
269,Be Like You,CVBZ,1mkg3GGpHqaiWmi6GKIEvx,0.519,0.886,-2.167,0.09,0.42
270,Be Like You (feat. Broods),Whethan,1zRdhBRqRnMSLkZTODa5OL,0.677,0.492,-4.764,0.118,0.166
271,Basket Case,Green Day,6L89mwZXSOwYl76YXfX13s,0.442,0.943,-3.205,0.00293,0.781
272,Badfish,Sublime,4KnpSJBbcpJBAjEaaJBcL8,0.824,0.419,-7.064,0.0773,0.516
273,Bad Habit,The Kooks,3huV7eiNpaQlCB3LbZi9bB,0.733,0.882,-4.199,0.051,0.854
274,Bad 4 U (feat. gnash),Imad Royal,2njX8sZmCK4t7EKx2cS2Vb,0.851,0.535,-5.161,0.578,0.736
275,Audio,Sia,60jFTpfSeyc2oRENnaHlrw,0.365,0.692,-4.586,0.192,0.372
276,The Anthem,Good Charlotte,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,-3.127,0.00666,0.893
277,Another Day in Paradise,Quinn XCII,4gHSezW5CHZCvjAUjF2pd5,0.652,0.802,-5.308,0.161,0.559
278,Anna Sun,WALK THE MOON,3e0yTP5trHBBVvV32jwXqF,0.472,0.844,-6.578,0.00173,0.34
279,Always Been You,Quinn XCII,7cWyFwAaxdK2HSRuiRkMjy,0.731,0.588,-5.217,0.334,0.449
280,All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,0.617,0.567,-4.188,0.0584,0.505
281,All The Small Things,blink-182,7yCPwWs66K8Ba5lFuU2bcx,0.439,0.891,-4.764,0.0122,0.695
282,All Girls Are The Same,Juice WRLD,4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,-7.226,0.0769,0.203
283,Addicted,Simple Plan,1B8MHa0NveCF1ViBEOZWO5,0.522,0.751,-5.46,0.000491,0.605
284,WIEE (feat. Mesto),Martin Garrix,0Y2QWrhPh6ATyaWYT0QLIR,0.52,0.835,-7.775,0.278,0.373
285,Honey,070 Shake,0PoMoPqIJxe6H0rDMnpGP8,0.696,0.667,-7.665,0.0114,0.287
286,Sex n' Drugs,Abhi The Nomad,6cvRSOoJKvQwS0oDt0TePP,0.831,0.32,-7.916,0.299,0.319
287,Big Mood,Mike Stud,3CAqgqqx023Rff8tCQtsBz,0.677,0.434,-8.966,0.608,0.791
288,2 Me (feat. Kiddo Ai & Nick Smith),SMLE,2k9b4YpE5cFcGrcBcyg5NR,0.733,0.484,-8.855,0.591,0.469
289,Beach House,The Chainsmokers,2bQhVQbV7VBzSOPo8mbkUR,0.4,0.838,-4.491,0.174,0.533
290,Candles,Juice WRLD,1wa6QQsdSE3X2GbRljGpFk,0.715,0.574,-6.236,0.373,0.337
291,I'll Be Fine,Juice WRLD,0INehbMZOFPnaPBAjK97i3,0.523,0.678,-6.071,0.000616,0.277
292,Begging You,Russ,6EgWb0x0RkCcSpgud1FuQV,0.847,0.55,-9.285,0.282,0.529
293,Missin You Crazy,Russ,4ve2uzqdwnHr20G5YgMMqr,0.716,0.729,-6.313,0.0991,0.276
294,Trampoline,SHAED,0lsRatBUs9HNIZAmoGABzk,0.689,0.412,-7.523,0.488,0.537
295,When I'm Down,Whethan,556l9P7WVZVyYUBjT1YFTT,0.827,0.769,-4.058,0.209,0.491
296,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,-5.574,0.556,0.913
297,Hide (feat. Seezyn),Juice WRLD,6rz0dTA0PdhXImFV5EjM0w,0.715,0.639,-5.017,0.0622,0.151
298,Alien Boy,Oliver Tree,1gGhqfs2pDTOI30AEXMXrn,0.803,0.599,-5.169,0.111,0.484
299,Love Is Hell (feat. Trippie Redd),Phora,2Tn4XArLhjrZEhBKlAle0j,0.662,0.784,-7.164,0.0113,0.107
